Nombre,Link,Fecha de entrega
Entrega: Cliente python al directorio-BeautifulSoup Zeregina,https://egela.ehu.eus/mod/assign/view.php?id=6255982,"osteguna, 2023(e)ko otsailaren 23(e)an, 23:00(e)tan"
Entrega: Ejercicio de repaso de los bloque HTTP y bloque WebScraping. Zeregina,https://egela.ehu.eus/mod/assign/view.php?id=6255993,"asteazkena, 2023(e)ko martxoaren 1(e)an, 23:00(e)tan"
Burp G1 Zeregina,https://egela.ehu.eus/mod/assign/view.php?id=6256053,"astelehena, 2023(e)ko martxoaren 13(e)an, 11:00(e)tan"
Python G1 Zeregina,https://egela.ehu.eus/mod/assign/view.php?id=6256056,"astelehena, 2023(e)ko martxoaren 27(e)an, 11:00(e)tan"
